,501,503,505,507,509,511,513,515,517,519,521,523,525,527,529,531,533
Cape Town,,,,,,,,,,,,,,,,,
Woodstock,,,,,,,,,,,,,,,,,
Salt River,05:30,05:50,06:35,07:15,07:50,08:15,09:05,10:35,11:35,14:05,14:55,15:25,16:30,17:05,17:50,18:15,18:48
Koeberg Rd,05:36,05:56,06:41,07:21,07:56,08:21,09:11,10:41,11:41,14:11,15:01,15:31,16:36,17:11,17:56,18:21,18:54
Maitland,05:40,06:00,06:45,07:25,08:00,08:25,09:15,10:45,11:45,14:15,15:05,15:35,16:40,17:15,18:00,18:25,18:58
Ndabeni,05:43,06:03,06:48,07:28,08:03,08:28,09:18,10:48,11:48,14:18,15:08,15:38,16:43,17:18,18:03,18:28,19:01
Pinelands,05:47,06:07,06:52,07:32,08:07,08:32,09:22,10:52,11:52,14:22,15:12,15:42,16:47,17:22,18:07,18:32,19:05
Hazendal,05:51,06:11,06:56,07:36,08:11,08:36,09:26,10:56,11:56,14:26,15:16,15:46,16:51,17:26,18:11,18:36,19:09
Athlone,05:54,06:14,06:59,07:39,08:14,08:39,09:29,10:59,11:59,14:29,15:19,15:49,16:54,17:29,18:14,18:39,19:12
Crawford,05:56,06:16,07:01,07:41,08:16,08:41,09:31,11:01,12:01,14:31,15:21,15:51,16:56,17:31,18:16,18:41,19:14
Lansdowne,05:59,06:19,07:04,07:44,08:19,08:44,09:34,11:04,12:04,14:34,15:24,15:54,16:59,17:34,18:19,18:44,19:17
Wetton,06:02,06:22,07:07,07:47,08:22,08:47,09:37,11:07,12:07,14:37,15:27,15:57,17:02,17:37,18:22,18:47,19:20
Ottery,06:05,06:25,07:10,07:50,08:25,08:50,09:40,11:10,12:10,14:40,15:30,16:00,17:05,17:40,18:25,18:50,19:23
Southfield,06:10,06:30,07:15,07:55,08:30,08:55,09:45,11:15,12:15,14:45,15:35,16:05,17:10,17:45,18:30,18:55,19:28
Heathfield,06:13,06:33,07:18,07:58,08:33,08:58,09:48,11:18,12:18,14:48,15:38,16:08,17:13,17:48,18:33,18:58,19:31
Retreat,06:15,06:35,07:20,08:00,08:35,09:00,09:50,11:20,12:20,14:50,15:40,16:10,17:15,17:50,18:35,19:00,19:33
