,501,503,505,507,509,511,513
Cape Town,,,,,,,
Woodstock,04:57,06:27,07:39,08:57,10:07,11:22,13:12
Salt River,05:05,06:35,07:47,09:05,10:15,11:30,13:20
Koeberg Rd,05:11,06:41,07:53,09:11,10:21,11:36,13:26
Maitland,05:15,06:45,07:57,09:15,10:25,11:40,13:30
Ndabeni,05:18,06:48,08:00,09:18,10:28,11:43,13:33
Pinelands,05:22,06:52,08:04,09:22,10:32,11:47,13:37
Hazendal,05:26,06:56,08:08,09:26,10:36,11:51,13:41
Athlone,05:29,06:59,08:11,09:29,10:39,11:54,13:44
Crawford,05:31,07:01,08:13,09:31,10:41,11:56,13:46
Lansdowne,05:34,07:04,08:16,09:34,10:44,11:59,13:49
Wetton,05:37,07:07,08:19,09:37,10:47,12:02,13:52
Ottery,05:40,07:10,08:22,09:40,10:50,12:05,13:55
Southfield,05:45,07:15,08:27,09:45,10:55,12:10,14:00
Heathfield,05:48,07:18,08:30,09:48,10:58,12:13,14:03
Retreat,05:50,07:20,08:32,09:50,11:00,12:15,14:05
