,9501,9503,9505,9507,9901,9903,9905,9907,9909,9911
Cape Town,,,,,,,,,,
Woodstock,06:43,08:03,11:03,12:53,,,,,,
Salt River,06:48,08:08,11:08,12:58,,,,,,
Koeberg Road,06:51,08:11,11:11,13:01,,,,,,
Maitland,06:54,08:14,11:14,13:04,,,,,,
Ndabeni,06:58,08:18,11:18,13:08,,,,,,
Pinelands,07:01,08:21,11:21,13:11,,,,,,
Esplanade,,,,,04:53,06:13,07:45,09:35,11:25,13:15
Ysterplaat,,,,,05:02,06:22,07:54,09:44,11:34,13:24
Mutual,,,,,05:12,06:32,08:04,09:54,11:44,13:34
Langa,07:10,08:30,11:30,13:20,05:19,06:39,08:11,10:01,11:51,13:41
Nyanga,,,,,05:40,07:00,08:32,10:22,12:12,14:02
Philippi,,,,,,,,,,
Stock Road,,,,,05:51,07:11,08:43,10:33,12:23,14:13
Mandalay,,,,,05:56,07:16,08:48,10:38,12:28,14:18
Nolungile,,,,,,,,,,
Lavistown,,,,,,,,,,
Belhar,,,,,,,,,,
Unibell,,,,,,,,,,
Pentech,,,,,,,,,,
Sarepta,,,,,,,,,,
Bellville,,,,,,,,,,
