,2500,2700,2502,2702,2704,3504,2506,2706,2508,2708,2710,2712,3506,2714,2514,2716,2516,2718,2518,2720,2520,2722,2726,2724,3206,2630,3202,3204,2300,2302,2304,2306,3410,3200,3400,3402,3404,3406,3408,3412,2504,2510,2524,2522,3500,3508
Wellington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbekweni,,,,,,06:03,,,,,,,10:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:18,14:53
Dal Josafat,,,,,,06:12,,,,,,,10:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:27,15:02
Huguenot,,,,,,06:18,,,,,,,10:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:33,15:08
Paarl,,,,,,06:29,,,,,,,10:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:44,15:19
Klapmuts,,,,,,06:44,,,,,,,10:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:59,15:34
Muldersvlei,,,,,,06:59,,,,,,,11:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:14,15:49
Kraaifontein,,,,,,07:11,,,,,,,11:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:25,16:00
Eikenfontein,04:40,,05:40,,,07:16,07:47,,08:50,,,,11:26,,13:05,,14:20,,15:30,,16:30,,,,,06:46,,,,,,,,,,,,,,,06:05,09:40,17:45,16:55,,
Brackenfell,04:46,,05:46,,,07:22,07:53,,08:56,,,,11:32,,13:11,,14:26,,15:36,,16:36,,,,,06:52,,,,,,,,,,,,,,,06:11,09:46,17:51,17:01,,
Stikland,04:53,,05:53,,,07:29,08:00,,09:03,,,,11:39,,13:18,,14:33,,15:43,,16:43,,,,,06:59,,,,,,,,,,,,,,,06:18,09:53,17:58,17:08,,
Stellenbosch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vlottenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:41,,04:38,06:08,07:58,11:38,13:18,17:28,,,,,,
Lynedoch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,,04:50,06:20,08:10,11:50,13:30,17:40,,,,,,
Strand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Der Stel,,,,,,,,,,,,,,,,,,,,,,,,,17:52,,06:07,07:52,,,,,,04:17,,,,,,,,,,,,
Somerset West,,,,,,,,,,,,,,,,,,,,,,,,,17:58,,06:13,07:58,,,,,,04:23,,,,,,,,,,,,
