,2800,2630,3202,2504,2802,2804,2806,2808,2810,2812,2814,2816,3206
Bellville,,,,,,,,,,,,,
Oosterzee,06:14,07:13,07:25,08:06,09:14,10:09,12:19,14:09,15:09,16:19,17:19,18:29,18:45
Avondale,06:18,07:20,07:29,08:10,09:18,10:13,12:23,14:13,15:13,16:23,17:23,18:33,18:49
De Grendel,06:23,,07:34,08:15,09:23,10:18,12:28,14:18,15:18,16:28,17:28,18:38,18:54
Monte Vista,06:30,07:26,07:41,08:22,09:30,10:25,12:35,14:25,15:25,16:35,17:35,18:45,19:01
Century City,06:42,07:34,07:53,08:34,09:42,10:37,12:47,14:37,15:37,16:47,17:47,18:57,19:13
Kentemade,,,,,,,,,,,,,
Ysterplaat,06:53,07:41,08:04,08:45,09:53,10:48,12:58,14:48,15:48,16:58,17:58,19:08,19:24
Esplanade,07:00,07:47,08:11,08:52,10:00,10:55,13:05,14:55,15:55,17:05,18:05,19:15,19:31
Cape Town,07:05,07:55,08:16,08:57,10:05,11:00,13:10,15:00,16:00,17:10,18:10,19:20,19:36
