,2801,2803,2805,2807,2809,2811,2813,2815,3207,2817,2677
Cape Town,,,,,,,,,,,
Esplanade,,,,,,,,,,,
Ysterplaat,05:17,07:27,09:12,11:22,13:12,14:12,15:22,16:22,16:59,17:32,17:41
Kentemade,,,,,,,,,,,
Century City,05:28,07:38,09:23,11:33,13:23,14:23,15:33,16:33,17:08,17:43,17:50
Monte Vista,05:40,07:50,09:35,11:45,13:35,14:35,15:45,16:45,17:18,17:55,17:54
De Grendel,05:47,07:57,09:42,11:52,13:42,14:42,15:52,16:52,17:21,18:02,
Avondale,05:51,08:01,09:46,11:56,13:46,14:46,15:56,16:56,17:25,18:06,17:59
Oosterzee,05:55,08:05,09:50,12:00,13:50,14:50,16:00,17:00,17:29,18:10,18:02
Bellville,06:00,08:10,09:55,12:05,13:55,14:55,16:05,17:05,17:34,18:15,18:06
