,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158
Fish Hoek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalk Bay,04:49,05:14,05:59,06:19,06:39,06:59,07:19,07:39,07:59,08:14,08:39,08:59,09:19,09:39,10:19,11:19,12:19,13:19,14:19,15:19,15:39,15:59,16:19,16:39,16:59,17:19,17:39,17:59,18:19,18:39
St James,04:51,05:16,06:01,06:21,06:41,07:01,07:21,07:41,08:01,08:16,08:41,09:01,09:21,09:41,10:21,11:21,12:21,13:21,14:21,15:21,15:41,16:01,16:21,16:41,17:01,17:21,17:41,18:01,18:21,18:41
Muizenberg,04:54,05:19,06:04,06:24,06:44,07:04,07:24,07:44,08:04,08:19,08:44,09:04,09:24,09:44,10:24,11:24,12:24,13:24,14:24,15:24,15:44,16:04,16:24,16:44,17:04,17:24,17:44,18:04,18:24,18:44
False Bay,04:56,05:21,06:06,06:26,06:46,07:06,07:26,07:46,08:06,08:21,08:46,09:06,09:26,09:46,10:26,11:26,12:26,13:26,14:26,15:26,15:46,16:06,16:26,16:46,17:06,17:26,17:46,18:06,18:26,18:46
Lakeside,04:58,05:23,06:08,06:28,06:48,07:08,07:28,07:48,08:08,08:23,08:48,09:08,09:28,09:48,10:28,11:28,12:28,13:28,14:28,15:28,15:48,16:08,16:28,16:48,17:08,17:28,17:48,18:08,18:28,18:48
Steenberg,05:00,05:25,06:10,06:30,06:50,07:10,07:30,07:50,08:10,08:25,08:50,09:10,09:30,09:50,10:30,11:30,12:30,13:30,14:30,15:30,15:50,16:10,16:30,16:50,17:10,17:30,17:50,18:10,18:30,18:50
Retreat,05:03,05:28,06:13,06:33,06:53,07:13,07:33,07:53,08:13,08:28,08:53,09:13,09:33,09:53,10:33,11:33,12:33,13:33,14:33,15:33,15:53,16:13,16:33,16:53,17:13,17:33,17:53,18:13,18:33,18:53
Heathfield,05:06,05:31,06:16,06:36,06:56,07:16,07:36,07:56,08:16,08:31,08:56,09:16,09:36,09:56,10:36,11:36,12:36,13:36,14:36,15:36,15:56,16:16,16:36,16:56,17:16,17:36,17:56,18:16,18:36,18:56
Dieprivier,05:09,05:34,06:19,06:39,06:59,07:19,07:39,07:59,08:19,08:34,08:59,09:19,09:39,09:59,10:39,11:39,12:39,13:39,14:39,15:39,15:59,16:19,16:39,16:59,17:19,17:39,17:59,18:19,18:39,18:59
Steurhof,05:12,05:37,06:22,06:42,07:02,07:22,07:42,08:02,08:22,08:37,09:02,09:22,09:42,10:02,10:42,11:42,12:42,13:42,14:42,15:42,16:02,16:22,16:42,17:02,17:22,17:42,18:02,18:22,18:42,19:02
Plumstead,05:14,05:39,06:24,06:44,07:04,07:24,07:44,08:04,08:24,08:39,09:04,09:24,09:44,10:04,10:44,11:44,12:44,13:44,14:44,15:44,16:04,16:24,16:44,17:04,17:24,17:44,18:04,18:24,18:44,19:04
Wittebome,05:16,05:41,06:26,06:46,07:06,07:26,07:46,08:06,08:26,08:41,09:06,09:26,09:46,10:06,10:46,11:46,12:46,13:46,14:46,15:46,16:06,16:26,16:46,17:06,17:26,17:46,18:06,18:26,18:46,19:06
