,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159
Cape Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodstock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt River,05:31,05:51,06:11,06:31,06:51,07:11,07:31,07:51,08:11,08:31,09:11,10:11,11:11,12:11,13:11,14:11,14:31,14:51,15:11,15:31,15:51,16:11,16:31,16:51,17:11,17:31,17:51,18:11,18:41,19:11
Observatory,05:34,05:54,06:14,06:34,06:54,07:14,07:34,07:54,08:14,08:34,09:14,10:14,11:14,12:14,13:14,14:14,14:34,14:54,15:14,15:34,15:54,16:14,16:34,16:54,17:14,17:34,17:54,18:14,18:44,19:14
Mowbray,05:36,05:56,06:16,06:36,06:56,07:16,07:36,07:56,08:16,08:36,09:16,10:16,11:16,12:16,13:16,14:16,14:36,14:56,15:16,15:36,15:56,16:16,16:36,16:56,17:16,17:36,17:56,18:16,18:46,19:16
Rosebank,05:38,05:58,06:18,06:38,06:58,07:18,07:38,07:58,08:18,08:38,09:18,10:18,11:18,12:18,13:18,14:18,14:38,14:58,15:18,15:38,15:58,16:18,16:38,16:58,17:18,17:38,17:58,18:18,18:48,19:18
Rondebosch,05:40,06:00,06:20,06:40,07:00,07:20,07:40,08:00,08:20,08:40,09:20,10:20,11:20,12:20,13:20,14:20,14:40,15:00,15:20,15:40,16:00,16:20,16:40,17:00,17:20,17:40,18:00,18:20,18:50,19:20
Newlands,05:43,06:03,06:23,06:43,07:03,07:23,07:43,08:03,08:23,08:43,09:23,10:23,11:23,12:23,13:23,14:23,14:43,15:03,15:23,15:43,16:03,16:23,16:43,17:03,17:23,17:43,18:03,18:23,18:53,19:23
Claremont,05:45,06:05,06:25,06:45,07:05,07:25,07:45,08:05,08:25,08:45,09:25,10:25,11:25,12:25,13:25,14:25,14:45,15:05,15:25,15:45,16:05,16:25,16:45,17:05,17:25,17:45,18:05,18:25,18:55,19:25
Harfield Rd,05:47,06:07,06:27,06:47,07:07,07:27,07:47,08:07,08:27,08:47,09:27,10:27,11:27,12:27,13:27,14:27,14:47,15:07,15:27,15:47,16:07,16:27,16:47,17:07,17:27,17:47,18:07,18:27,18:57,19:27
Kenilworth,05:49,06:09,06:29,06:49,07:09,07:29,07:49,08:09,08:29,08:49,09:29,10:29,11:29,12:29,13:29,14:29,14:49,15:09,15:29,15:49,16:09,16:29,16:49,17:09,17:29,17:49,18:09,18:29,18:59,19:29
Wynberg,05:51,06:11,06:31,06:51,07:11,07:31,07:51,08:11,08:31,08:51,09:31,10:31,11:31,12:31,13:31,14:31,14:51,15:11,15:31,15:51,16:11,16:31,16:51,17:11,17:31,17:51,18:11,18:31,19:01,19:31
Wittebome,05:53,06:13,06:33,06:53,07:13,07:33,07:53,08:13,08:33,08:53,09:33,10:33,11:33,12:33,13:33,14:33,14:53,15:13,15:33,15:53,16:13,16:33,16:53,17:13,17:33,17:53,18:13,18:33,19:03,19:33
Plumstead,05:55,06:15,06:35,06:55,07:15,07:35,07:55,08:15,08:35,08:55,09:35,10:35,11:35,12:35,13:35,14:35,14:55,15:15,15:35,15:55,16:15,16:35,16:55,17:15,17:35,17:55,18:15,18:35,19:05,19:35
Steurhof,05:57,06:17,06:37,06:57,07:17,07:37,07:57,08:17,08:37,08:57,09:37,10:37,11:37,12:37,13:37,14:37,14:57,15:17,15:37,15:57,16:17,16:37,16:57,17:17,17:37,17:57,18:17,18:37,19:07,19:37
Dieprivier,05:59,06:19,06:39,06:59,07:19,07:39,07:59,08:19,08:39,08:59,09:39,10:39,11:39,12:39,13:39,14:39,14:59,15:19,15:39,15:59,16:19,16:39,16:59,17:19,17:39,17:59,18:19,18:39,19:09,19:39
