,101,103,105,107,109,111,113,115,117,119
Cape Town,,,,,,,,,,
Woodstock,05:23,06:03,06:43,07:23,08:03,09:03,10:03,11:03,12:03,13:33
Salt River,05:31,06:11,06:51,07:31,08:11,09:11,10:11,11:11,12:11,13:41
Observatory,05:34,06:14,06:54,07:34,08:14,09:14,10:14,11:14,12:14,13:44
Mowbray,05:36,06:16,06:56,07:36,08:16,09:16,10:16,11:16,12:16,13:46
Rosebank,05:38,06:18,06:58,07:38,08:18,09:18,10:18,11:18,12:18,13:48
Rondebosch,05:40,06:20,07:00,07:40,08:20,09:20,10:20,11:20,12:20,13:50
Newlands,05:43,06:23,07:03,07:43,08:23,09:23,10:23,11:23,12:23,13:53
Claremont,05:45,06:25,07:05,07:45,08:25,09:25,10:25,11:25,12:25,13:55
Harfield Rd,05:47,06:27,07:07,07:47,08:27,09:27,10:27,11:27,12:27,13:57
Kenilworth,05:49,06:29,07:09,07:49,08:29,09:29,10:29,11:29,12:29,13:59
Wynberg,05:51,06:31,07:11,07:51,08:31,09:31,10:31,11:31,12:31,14:01
Wittebome,05:53,06:33,07:13,07:53,08:33,09:33,10:33,11:33,12:33,14:03
Plumstead,05:55,06:35,07:15,07:55,08:35,09:35,10:35,11:35,12:35,14:05
Steurhof,05:57,06:37,07:17,07:57,08:37,09:37,10:37,11:37,12:37,14:07
Dieprivier,05:59,06:39,07:19,07:59,08:39,09:39,10:39,11:39,12:39,14:09
Heathfield,06:01,06:41,07:21,08:01,08:41,09:41,10:41,11:41,12:41,14:11
Retreat,06:04,06:44,07:24,08:04,08:44,09:44,10:44,11:44,12:44,14:14
Steenberg,06:07,06:47,07:27,08:07,08:47,09:47,10:47,11:47,12:47,14:17
Lakeside,06:09,06:49,07:29,08:09,08:49,09:49,10:49,11:49,12:49,14:19
False Bay,06:12,06:52,07:32,08:12,08:52,09:52,10:52,11:52,12:52,14:22
Muizenberg,06:14,06:54,07:34,08:14,08:54,09:54,10:54,11:54,12:54,14:24
St James,06:17,06:57,07:37,08:17,08:57,09:57,10:57,11:57,12:57,14:27
Kalk Bay,06:19,06:59,07:39,08:19,08:59,09:59,10:59,11:59,12:59,14:29
Fish Hoek,06:23,07:03,07:43,08:23,09:03,10:03,11:03,12:03,13:03,14:33
