STATION,DEPART_ARRIVE,201,101,103,203,105,205,107,109,207,111,209,113,211,115,213,117,215,119
CAPE TOWN,D,-,5:20,6:00,-,6:40,-,7:20,8:00,-,9:00,-,10:00,-,11:00,-,12:00,-,13:30
WOODSTOCK,D,-,5:23,6:03,-,6:43,-,7:23,8:03,-,9:03,-,10:03,-,11:03,-,12:03,-,13:33
SALT RIVER,D,-,5:31,6:11,-,6:51,-,7:31,8:11,-,09-11,-,10:11,-,11:11,-,12:11,-,13:41
OBSERVATORY,D,-,5:34,6:14,-,6:54,-,7:34,8:14,-,9:14,-,10:14,-,11:14,-,12:14,-,13:44
MOWBRAY,D,-,5:36,6:16,-,6.56,-,7:36,8:16,-,9:16,-,10:16,-,11:16,-,12:16,-,13:46
ROSEBANK,D,-,5:38,6:18,-,6:58,-,7:38,8:18,-,9:18,-,10:18,-,11:18,-,12:18,-,13:48
RONDEBOSCH,D,-,5:40,6:20,-,7:00,-,7:40,8:20,-,9:20,-,10:20,-,11:20,-,12:20,-,13:50
NEWLANDS,D,-,5:43,6:23,-,7:03,-,7:43,8:23,-,9:23,-,10:23,-,11:23,-,12:23,-,13:53
CLAREMONT,D,-,5:45,6:25,-,7:05,-,7:45,8:25,-,9:25,-,10:25,-,11:25,-,12:25,-,13:55
HARFIELD ROAD,D,-,5:47,6:27,-,7:07,-,7:47,8:27,-,9:27,-,10:27,-,11:27,-,12:27,-,13:57
KENILWORTH,D,-,5:49,6:29,-,7:09,-,7:49,8:29,-,9:29,-,10:29,-,11:29,-,12:29,-,13:59
WYNBERG,D,-,5:51,6:31,-,7:11,-,7:51,8:31,-,9:31,-,10:31,-,11:31,-,12:31,-,14:01
WITTEBOME,D,-,5:53,6:33,-,7:13,-,7:53,8:33,-,9:33,-,10:33,-,11:33,-,12:33,-,14:03
PLUMSTEAD,D,-,5:55,6:35,-,7:15,-,7:55,8:35,-,9:35,-,10:35,-,11:35,-,12:35,-,14.05
STEURHOF,D,-,5:57,6:37,-,7:17,-,7:57,8:37,-,9:37,-,10:37,-,11:37,-,12:37,-,14:07
DIEPRIVER,D,-,5:59,6:39,-,7:19,-,7:59,8:39,-,9:39,-,10:39,-,11:39,-,12:39,-,14.09
HEATHFIELD,D,-,6:01,6:41,-,7:21,-,8:01,8:41,-,9:41,-,10:41,-,11:41,-,12:41,-,14:11
RETREAT,A,-,6:03,6:43,-,7:23,-,8:03,8:43,-,9:43,-,10:43,-,11:43,-,12:43,-,14:13
RETREAT,D,-,6:04,6:44,-,7:24,-,8:04,8:44,-,9:44,-,10:44,-,11:44,-,12:44,-,14:14
STEENBERG,D,-,6:07,6:47,-,7:27,-,8:07,8:47,-,9:47,-,10:47,-,11:47,-,12:47,-,14:17
LAKESIDE,D,-,6:09,6:49,-,7:29,-,8:09,8:49,-,9:49,-,10:49,-,11:49,-,12:49,-,14:19
FALSE BAY,D,-,6:12,6:52,-,7:32,-,8:12,8:52,-,9:52,-,10:52,-,11:52,-,12:52,-,14:22
MUIZENBERG,D,-,6:14,6:54,-,7:34,-,8:14,8:54,-,9:54,-,10:54,-,11:54,-,12:54,-,14:24
ST JAMES,D,-,6:17,6:57,-,7:37,-,8:17,8:57,-,9:57,-,10:57,-,11:57,-,12:57,-,14:27
KALK BAY,D,-,6:19,6:59,-,7:39,-,8:19,8:59,-,9:59,-,10:59,-,11:59,-,12:59,-,14:29
FISH HOEK,A,-,6:23,7:03,-,7:43,-,8:23,9:03,-,10:03,-,11:03,-,12:03,-,13:03,-,14:33
FISH HOEK,D,5:55,-,-,7:15,-,8:15,-,-,9:15,-,10:15,-,11:15,-,12:15,-,13:15,-
SUNNY COVE,D,6:00,-,-,7:20,-,8:20,-,-,9:20,-,10:20,-,11:20,-,12:20,-,13:20,-
GLENCAIRN,D,6:09,-,-,7:29,-,8:29,-,-,9:29,-,10:29,-,11:29,-,12:29,-,13:29,-
SIMONS TOWN,A,6:15,-,-,7:35,-,8:35,-,-,9:35,-,10:35,-,11:35,-,12:35,-,13:35,-
